"Scan #467",""
"m/z","Intensity"
"100.06689453125","5.1607141494751"
"100.34719848633","12.083333015442"
"100.35605621338","8.125"
"100.45838165283","30.02499961853"
"100.59526062012","5.0625"
"101.0238494873","48.242645263672"
"101.03542327881","14"
"101.04595947266","6.0250000953674"
"101.89430236816","10.160714149475"
"101.90754699707","16.375"
"101.99158477783","8.5625"
"102.15878295898","33.285713195801"
"102.16835021973","6.4464287757874"
"102.20171356201","5"
"102.2140045166","17"
"102.22147369385","8.4464282989502"
"102.32950592041","7.3333334922791"
"102.47235107422","5"
"102.60427856445","11.086538314819"
"102.61320495605","14.050000190735"
"102.83251953125","13.333333015442"
"103.0396194458","6.0416665077209"
"103.04650878906","34.008335113525"
"103.0559463501","79.960525512695"
"103.06890106201","14.449999809265"
"103.0852355957","9.1666669845581"
"103.17224884033","19.450000762939"
"103.18032836914","20.041666030884"
"103.83023071289","20.44642829895"
"103.8394317627","26.208333969116"
"103.88223266602","15"
"104.04144287109","13.02499961853"
"104.24407196045","9.0416669845581"
"104.88139343262","45.005950927734"
"104.88826751709","13.083333015442"
"105.07102966309","52.875"
"105.08025360107","19.8928565979"
"105.08965301514","41.009616851807"
"105.09774017334","21.125"
"105.11945343018","12.25"
"106.42018127441","13.163461685181"
"106.4654083252","54.025001525879"
"106.47565460205","23.347221374512"
"106.48377990723","6.2249999046326"
"106.49234771729","11"
"106.64263916016","18.125"
"108.53340911865","76.363639831543"
"108.54546356201","34.200000762939"
"108.55995941162","20.44642829895"
"108.57328796387","5.0416665077209"
"108.92129516602","81.36742401123"
"108.93349456787","19"
"108.94256591797","7.0625"
"108.95770263672","88.555854797363"
"108.97052001953","21.53125"
"109.02572631836","193.3203125"
"109.04804229736","22.083333969116"
"109.05453491211","7.125"
"109.07496643066","9"
"109.10218048096","20"
"109.3582611084","28.090909957886"
"110.06987762451","113.59999847412"
"110.09693908691","8.0500001907349"
"110.68167114258","12.22500038147"
"110.95201873779","5.125"
"112.22422790527","42"
"112.45174407959","5.0833334922791"
"112.76000213623","67.75"
"112.77097320557","26.208333969116"
"113.17333221436","33.035713195801"
"113.1861114502","8.0500001907349"
"113.24343109131","13.28125"
"113.28597259521","31.005952835083"
"113.89599609375","16.125"
"113.90268707275","10.02499961853"
"114.14080047607","43.920455932617"
"114.15072631836","9.0416669845581"
"114.48580169678","12.347222328186"
"114.66173553467","21.083333969116"
"114.66948699951","11.011363983154"
"114.97360229492","111.51249694824"
"114.9927444458","11.333333015442"
"115.00085449219","10.125"
"115.01202392578","5.0178570747375"
"115.02600097656","5.375"
"115.29412841797","10.680555343628"
"116.21682739258","7.0178570747375"
"116.94091796875","37.011363983154"
"117.66702270508","9.0178575515747"
"118.39127349854","11.160714149475"
"119.02279663086","13.44642829895"
"119.28619384766","38.450000762939"
"119.29721069336","23.02499961853"
"120.5252532959","12.333333015442"
"120.53651428223","6.0113635063171"
"120.99258422852","44.680557250977"
"121.00489807129","18.049999237061"
"121.02869415283","61.444999694824"
"121.03731536865","23.44642829895"
"121.05059814453","452.1428527832"
"121.06457519531","172.69827270508"
"121.07727050781","43.1875"
"121.09503936768","16.1428565979"
"121.20967102051","8.0833330154419"
"121.35124206543","30"
"122.09674072266","73.017860412598"
"122.64700317383","27"
"122.65553283691","7.2249999046326"
"122.76845550537","69.816665649414"
"122.77518463135","42.049999237061"
"122.79261779785","6.1607141494751"
"123.19351196289","23.111110687256"
"123.20574951172","9.75"
"124.0288848877","72.142242431641"
"124.03600311279","25.5"
"124.74925231934","29.778846740723"
"124.75796508789","71.322364807129"
"124.76522827148","44.163459777832"
"124.88460540771","72.845001220703"
"124.90378570557","11"
"125.05740356445","39.090908050537"
"125.06497955322","17"
"126.30307006836","8.5625"
"126.40331268311","10.284090995789"
"126.76722717285","64.900001525879"
"126.77955627441","21.041666030884"
"126.79019927979","13.011363983154"
"127.10277557373","30.450000762939"
"127.12291717529","51.007354736328"
"127.1382522583","11.160714149475"
"127.54099273682","26.02499961853"
"127.55418395996","9.0625"
"128.55879211426","17.007352828979"
"129.46855163574","91.107757568359"
"129.48355102539","22.556818008423"
"129.49365234375","13.160714149475"
"129.73129272461","11.199999809265"
"130.36126708984","82.118423461914"
"131.09448242188","27.03125"
"131.10397338867","5.3333334922791"
"131.44030761719","32.25"
"131.45394897461","10.333333015442"
"131.46458435059","17.03125"
"131.60612487793","31.02499961853"
"131.61361694336","11.556818008423"
"131.78970336914","9.4499998092651"
"132.04685974121","79.013885498047"
"132.05795288086","35"
"132.06840515137","11.556818008423"
"132.64437866211","6.013888835907"
"133.39236450195","19.556818008423"
"133.40078735352","16.083333969116"
"133.41137695312","27.444444656372"
"133.41979980469","10"
"134.11979675293","33.361110687256"
"134.13140869141","5.0416665077209"
"134.15924072266","5.625"
"134.29154968262","7.125"
"134.88661193848","16"
"135.06242370605","32.0625"
"135.07221984863","9.0625"
"135.1335144043","42.674999237061"
"135.15307617188","5.0250000953674"
"135.20153808594","11.009614944458"
"135.65310668945","27.96195602417"
"135.66023254395","18.049999237061"
"135.79750061035","10.125"
"136.55027770996","160.14674377441"
"136.57234191895","12.017857551575"
"136.58050537109","10.284090995789"
"137.05952453613","488.75738525391"
"137.07556152344","52.840908050537"
"137.09098815918","14.199999809265"
"137.10636901855","8.3333330154419"
"137.11463928223","6.2249999046326"
"137.12628173828","6.75"
"138.17729187012","52.367645263672"
"138.20860290527","8.75"
"138.22290039062","7.375"
"138.27703857422","5.0250000953674"
"138.384765625","11.083333015442"
"138.69342041016","30.25"
"138.71656799316","5.125"
