mz_L;Instesity_L;mz_M;Instesity_M;mz_H;Instesity_H
100.11136627197266;35.67499923706055;100.65827178955078;14.041666984558105;100.01323699951172;86.9184799194336
100.1181869506836;19.799999237060547;100.66496276855469;9.041666984558105;100.02130126953125;48.224998474121094
100.2249526977539;18.008333206176758;101.03018951416016;5.125;100.0357894897461;5.041666507720947
100.2357406616211;6.041666507720947;101.03678131103516;10.017857551574707;100.24421691894531;17.14285659790039
100.24757385253906;11.009614944458008;101.04364776611328;17.321428298950195;100.76657104492188;5.083333492279053
100.57522583007812;8.008333206176758;101.66519927978516;27.33333396911621;101.3839340209961;14.625
100.69185638427734;14.47115421295166;101.67453002929688;19.5625;101.43961334228516;13.625
100.82084655761719;13.024999618530273;102.09059143066406;135.72116088867188;101.61195373535156;13.160714149475098
101.51412963867188;8.083333015441895;102.11396789550781;12.083333015441895;101.95210266113281;183.44642639160156
102.10539245605469;48.3636360168457;102.1200180053711;12.446428298950195;101.97169494628906;16.009614944458008
102.11485290527344;17.5625;103.20491027832031;6.017857074737549;101.98043823242188;7.017857074737549
103.1324462890625;10.083333015441895;103.37806701660156;58.05921173095703;102.09098052978516;176.00204467773438
103.14320373535156;6.011363506317139;103.3851089477539;69.2249984741211;102.09944152832031;21.0625
103.23650360107422;16.049999237060547;103.3948974609375;36.92045593261719;102.11186981201172;20.20833396911621
103.2623062133789;37.04166793823242;103.40416717529297;28.75;102.11907958984375;11.011363983154297
103.27392578125;11;103.41529083251953;52.24038314819336;102.52808380126953;22.225000381469727
103.2999038696289;60.969825744628906;103.43253326416016;8.024999618530273;102.53886413574219;12.024999618530273
103.30680084228516;45.224998474121094;104.72672271728516;23.28125;102.86849212646484;9.5625
103.31970977783203;7.025000095367432;104.74003601074219;5.125;102.9769515991211;17.125
104.31024169921875;45.761905670166016;104.77621459960938;8.284090995788574;103.05577850341797;99.5952377319336
104.3234634399414;7.011363506317139;105.20201110839844;7.041666507720947;103.06332397460938;38.778846740722656
104.48017883300781;13.240385055541992;105.9332504272461;163.88043212890625;103.0723648071289;23.200000762939453
104.71063232421875;6.017857074737549;105.94389343261719;54.45000076293945;103.0796890258789;8.083333015441895
105.04466247558594;40.360294342041016;105.95359802246094;14.25;104.2542953491211;7
105.05265808105469;15.160714149475098;105.96743774414062;8.01388931274414;104.95849609375;22.66666603088379
105.06143951416016;5.125;105.9781723022461;7.011363506317139;104.96499633789062;13
105.13510131835938;7.25;106.4908218383789;27.571428298950195;105.03323364257812;94.56402587890625
105.14387512207031;7.75;106.50086212158203;14.017857551574707;105.04488372802734;31.08333396911621
105.57494354248047;18.889705657958984;106.88581848144531;6.25;105.05400848388672;8
105.90503692626953;18;107.01436614990234;19;105.06100463867188;7.025000095367432
105.93529510498047;177.64285278320312;107.02720642089844;9.083333015441895;105.07182312011719;5.025000095367432
105.94742584228516;57;107.04814147949219;204.22579956054688;105.71562957763672;7
105.97119903564453;7.017857074737549;107.28949737548828;5;105.765380859375;12.041666984558105
105.98351287841797;9.024999618530273;107.29855346679688;6.083333492279053;105.77458190917969;8.160714149475098
107.08470916748047;120.05000305175781;107.42447662353516;13.011363983154297;106.07200622558594;137.08653259277344
107.10262298583984;21;107.43389129638672;6.224999904632568;106.08349609375;41.44643020629883
107.11217498779297;9.225000381469727;108.39295959472656;26.446428298950195;106.09296417236328;21.01388931274414
108.25234985351562;68.08333587646484;108.40475463867188;8.041666984558105;106.10447692871094;5.25
108.27098083496094;8.024999618530273;108.82476043701172;5.041666507720947;106.11776733398438;7.083333492279053
108.8259048461914;32.59558868408203;108.95711517333984;138.56521606445312;106.1710205078125;118.125
108.84825897216797;19.322368621826172;108.96565246582031;49.16071319580078;106.18377685546875;24.125
108.85578155517578;27.360294342041016;108.98033905029297;14.035714149475098;106.19121551513672;9.017857551574707
108.95759582519531;113.70370483398438;108.98811340332031;8.446428298950195;106.19844055175781;8.01388931274414
108.97908782958984;11.5;109.1004409790039;34.400001525878906;106.85973358154297;8
109.64107513427734;23.34722137451172;109.29794311523438;13;106.8741226196289;5.041666507720947
110.41624450683594;33.471153259277344;109.30490112304688;5.041666507720947;106.92292022705078;7.125
110.43601989746094;11.0625;109.45220184326172;20.024999618530273;107.01695251464844;32.67499923706055
110.47085571289062;5;109.46721649169922;5.125;107.02276611328125;23.920454025268555
111.02740478515625;42.720237731933594;109.5436019897461;32.32236862182617;107.03549194335938;5
111.0333023071289;34.68055725097656;109.55264282226562;22.08333396911621;107.08524322509766;101.18560791015625
111.04767608642578;9.625;109.8322982788086;32.25;107.10424041748047;12.0625
113.71804809570312;32.125;109.84519958496094;16.04166603088379;107.11970520019531;7.75
113.72588348388672;42.32143020629883;110.0377426147461;87.77777862548828;107.2285385131836;8.199999809265137
113.73406219482422;17.08333396911621;110.05094146728516;34.45000076293945;107.28755950927734;51.375
113.96878051757812;56.471153259277344;110.06004333496094;12.0625;107.30270385742188;67.7601318359375
113.97772216796875;24.778846740722656;110.0682373046875;49.923912048339844;107.30810546875;20.160715103149414
113.98583984375;8.017857551574707;110.26041412353516;23.321428298950195;107.32473754882812;6.625
114.01704406738281;5.224999904632568;110.26705169677734;8.5;107.73543548583984;45.14881134033203
114.94803619384766;102.42857360839844;110.47686004638672;30.242647171020508;108.10284423828125;27.011363983154297
115.07898712158203;47;110.50932312011719;5.224999904632568;108.11105346679688;17.799999237060547
115.09312438964844;23.68055534362793;110.53917694091797;11.5;108.1952896118164;49.556819915771484
115.10134887695312;9.050000190734863;110.90728759765625;60.16447448730469;108.21060943603516;17.225000381469727
115.22480010986328;33.25;110.91720581054688;119.01041412353516;108.22293090820312;6.25
115.23348999023438;12.024999618530273;110.93114471435547;23.01785659790039;108.55657958984375;12
115.36775970458984;9.160714149475098;110.94774627685547;6.0625;108.5696029663086;6.041666507720947
115.47804260253906;59.04999923706055;111.04442596435547;97.11363983154297;109.02827453613281;31.571428298950195
115.50023651123047;5.224999904632568;111.06258392333984;13.125;109.04029083251953;13.166666984558105
116.01139068603516;59.230770111083984;111.07188415527344;5.125;109.06283569335938;79.57894897460938
116.02388763427734;17;111.90707397460938;25.08333396911621;109.0836181640625;5.041666507720947
116.03324127197266;5;111.91358184814453;19.34722137451172;109.0911865234375;5
116.04253387451172;6.025000095367432;111.92176818847656;9.083333015441895;109.18927001953125;37.00961685180664
116.07059478759766;60.89285659790039;112.18688201904297;22.33333396911621;109.20128631591797;10.333333015441895
116.08441162109375;18.375;112.21382904052734;24.009614944458008;109.20909118652344;6.025000095367432
116.09293365478516;8.160714149475098;112.22679901123047;8;109.25969696044922;5.224999904632568
116.49309539794922;7.625;113.0597915649414;94.06666564941406;109.26510620117188;18.08333396911621
116.76541137695312;34;113.07106018066406;19.04166603088379;109.54871368408203;12.0625
116.83052062988281;36.007354736328125;113.09156799316406;5.125;109.88388061523438;21.04166603088379
116.84297943115234;9.017857551574707;113.11711883544922;5.125;109.89009857177734;8.375
117.06968688964844;27.5625;113.18360137939453;6.041666507720947;110.0427474975586;17.34722137451172
117.07756805419922;15.125;113.52198028564453;26.5;110.05191040039062;10.225000381469727
117.15214538574219;20.25;113.52970123291016;7.083333492279053;110.22815704345703;6.013888835906982
117.18468475341797;13.083333015441895;113.5907211303711;8.083333015441895;110.61698913574219;6
117.1959228515625;12.347222328186035;113.62623596191406;7.025000095367432;110.63072967529297;9.375
117.42569732666016;8.25;113.80368041992188;35.125;110.64479064941406;6.224999904632568
117.95877075195312;10.225000381469727;113.81841278076172;6.041666507720947;110.79109954833984;7.224999904632568
118.08561706542969;77.0227279663086;113.89859771728516;25.01388931274414;110.80335998535156;25.02777862548828
118.09512329101562;25;113.9078140258789;9.017857551574707;111.45580291748047;19.674999237060547
118.1064453125;6;114.615478515625;49.14285659790039;111.46847534179688;18.240385055541992
119.68169403076172;17.25;114.62532806396484;17.5;111.47692108154297;7.4464287757873535
119.69420623779297;7.041666507720947;114.63384246826172;5;111.48839569091797;5.125
120.42523956298828;27.69444465637207;114.83853149414062;5;111.66693115234375;45.94230651855469
120.43799591064453;13.160714149475098;115.19688415527344;18.33333396911621;111.68104553222656;8.0625
121.0521469116211;265.3854675292969;115.20333099365234;13.083333015441895;111.73615264892578;10.041666984558105
121.06151580810547;57.400001525878906;115.24077606201172;28.049999237060547;111.84436798095703;22.024999618530273
121.06941986083984;18.25;115.24868774414062;37.14881134033203;111.85885620117188;11.347222328186035
121.09323120117188;10.083333015441895;115.25535583496094;17.225000381469727;112.36065673828125;63.08333206176758
121.11299896240234;8.375;116.40071868896484;46.918479919433594;112.37098693847656;12.160714149475098
121.14680480957031;32.94230651855469;116.41690826416016;64.03125;112.62512969970703;32.102272033691406
121.16487884521484;9.284090995788574;116.4315414428711;13.556818008422852;112.63753509521484;13.024999618530273
121.17236328125;6.125;116.92503356933594;20.284090042114258;112.65946960449219;6.125
121.2879638671875;5.025000095367432;116.93865203857422;8.01388931274414;112.80982208251953;16.34722137451172
121.5022964477539;56.0113639831543;116.97067260742188;25.009614944458008;112.8194351196289;5.5
121.5272445678711;9;117.03343200683594;91.76190185546875;113.1071548461914;61.905487060546875
121.56743621826172;19.008333206176758;117.04705047607422;18.34722137451172;113.53165435791016;111.79605102539062
121.62156677246094;50.66666793823242;117.43032836914062;22.875;113.55181884765625;24.40833282470703
121.6340103149414;14.25;117.634033203125;53.75;113.57075500488281;5.083333492279053
121.66374206542969;14.666666984558105;117.6515121459961;36.08333206176758;113.58000183105469;5
122.27037048339844;21.086538314819336;117.66107177734375;12.166666984558105;114.30937957763672;10.446428298950195
122.28134155273438;11.041666984558105;117.67243957519531;9;114.33307647705078;15.017857551574707
122.29835510253906;10;117.90135192871094;19.799999237060547;114.37039184570312;25.28125
122.42154693603516;53.14881134033203;117.91661834716797;22.25;114.3887710571289;11.017857551574707
122.43859100341797;5.025000095367432;118.02932739257812;11.375;114.39613342285156;6.160714149475098
123.1160659790039;76.07499694824219;118.08564758300781;54.06666564941406;114.50718688964844;18.200000762939453
123.1272964477539;32.24038314819336;118.09830474853516;17.125;114.5836181640625;16.102272033691406
123.1356430053711;8.25;118.10814666748047;6.013888835906982;114.87836456298828;18.125
123.37470245361328;28.011363983154297;118.24061584472656;22.0625;115.03942108154297;241.38409423828125
123.64186096191406;24.5625;118.91126251220703;20.450000762939453;115.05658721923828;75.07257843017578
123.83100891113281;64.36742401123047;118.91901397705078;13.556818008422852;115.07090759277344;19.34722137451172
123.84536743164062;9.75;119.06121826171875;76.69230651855469;115.08079528808594;12.166666984558105
124.08052825927734;21.008333206176758;119.07201385498047;26.5;115.088623046875;5.041666507720947
124.08753204345703;13.166666984558105;119.1028823852539;66.625;115.09835815429688;5.625
124.7129135131836;8.333333015441895;119.11669158935547;20.01388931274414;115.13561248779297;64.14881134033203
124.92427825927734;14.5625;119.48804473876953;6.125;115.14981842041016;11
125.00476837158203;141.39999389648438;119.81033325195312;16.40833282470703;115.26359558105469;11.102272987365723
125.02873229980469;19.25;119.8194351196289;30.25;115.82697296142578;8.125
125.03746795654297;8.25;119.83052062988281;6;116.03880310058594;20.009614944458008
125.05705261230469;14.011363983154297;120.36246490478516;21.04166603088379;116.10247039794922;8.125
125.06485748291016;9.009614944458008;120.38058471679688;64.07142639160156;116.29119873046875;99.96195983886719
125.30436706542969;6.125;120.3885269165039;20.024999618530273;116.29930114746094;39.0625
126.65238189697266;69.75;120.39978790283203;7;116.30693054199219;21.08333396911621
126.66651153564453;21.125;120.49466705322266;19.471153259277344;116.31587219238281;10.0625
126.68438720703125;10.017857551574707;120.53214263916016;19.920454025268555;116.61213684082031;12.240385055541992
126.69230651855469;7.017857074737549;120.54580688476562;12.375;116.82804107666016;5.025000095367432
126.89192962646484;39.01388931274414;120.62100982666016;22;116.98350524902344;38.28409194946289
126.91119384765625;8.083333015441895;120.62902069091797;22;117.0064926147461;5.083333492279053
126.93489074707031;7.013888835906982;120.63992309570312;28.066177368164062;117.0357437133789;109.75
127.14094543457031;47.244998931884766;120.6469955444336;14.5625;117.04735565185547;36.32143020629883
127.15438842773438;23.04166603088379;121.02700805664062;19.446428298950195;117.05511474609375;13.024999618530273
127.16349792480469;15.160714149475098;121.0505599975586;741.7734375;117.17359161376953;69.20833587646484
127.23196411132812;9.5625;121.06268310546875;75.2892837524414;117.18144989013672;52.05356979370117
127.3266372680664;9.011363983154297;121.07269287109375;78.00961303710938;117.18941497802734;20.34722137451172
127.38130950927734;9.024999618530273;121.0809555053711;19.53125;117.22032165527344;7.4464287757873535
127.40116119384766;13.086538314819336;121.09846496582031;17.11111068725586;117.56462097167969;266.75555419921875
127.4174575805664;25.024999618530273;121.11310577392578;5.160714149475098;117.58016967773438;73.33333587646484
127.4285888671875;7.125;121.34591674804688;14.920454978942871;117.58765411376953;38.08333206176758
127.4366226196289;38.04999923706055;121.48971557617188;17.875;117.59645080566406;25.40833282470703
127.4435806274414;24.08333396911621;121.500244140625;8.011363983154297;117.6045150756836;14.375
127.46339416503906;7.4464287757873535;122.16944885253906;20;117.61327362060547;7.5
127.7541732788086;21.01785659790039;122.18604278564453;12.333333015441895;117.623291015625;9.041666984558105
127.76163482666016;11.125;122.20387268066406;7.083333492279053;118.08650207519531;442.69561767578125
127.85506439208984;65.22282409667969;122.53262329101562;5;118.09984588623047;46.25
127.87701416015625;13.75;123.26301574707031;21.674999237060547;118.10767364501953;44.25
127.95468139648438;10.041666984558105;123.88060760498047;25.01785659790039;118.12742614746094;16.16666603088379
128.04054260253906;9.225000381469727;123.89424133300781;11.024999618530273;118.13719940185547;8.446428298950195
128.04705810546875;8.050000190734863;123.90322875976562;18.240385055541992;118.15554809570312;7.1022725105285645
128.9371337890625;12.208333015441895;124.16680908203125;12.011363983154297;118.2636489868164;18.125
130.06040954589844;12.77884578704834;124.9618148803711;19.035715103149414;118.30004119873047;12.125
130.07781982421875;13.183823585510254;124.97500610351562;5.224999904632568;119.0485610961914;97.01786041259766
131.04942321777344;48.3967399597168;125.05834197998047;13.125;119.07440948486328;11.225000381469727
131.06639099121094;7.017857074737549;125.44446563720703;18.33333396911621;119.08489990234375;7.041666507720947
131.2351837158203;14.125;125.45157623291016;15;119.09398651123047;8.199999809265137
131.3987274169922;17;125.53836822509766;20.5625;119.10159301757812;5
131.54891967773438;39.1136360168457;127.03933715820312;38.40833282470703;120.0799560546875;8.102272987365723
131.5800018310547;8.011363983154297;127.2371597290039;33.39112854003906;120.08911895751953;11.556818008422852
132.430419921875;18.14285659790039;127.36347961425781;16.125;120.46928405761719;65.77941131591797
132.43821716308594;11.01388931274414;127.45977783203125;7.050000190734863;120.47698974609375;33.00833511352539
132.67713928222656;27.40833282470703;127.47103118896484;7.125;120.48535919189453;6.224999904632568
133.8448486328125;6.125;127.71372985839844;41.480262756347656;120.5754165649414;10
134.2137451171875;25.08333396911621;127.72633361816406;11.041666984558105;120.68534088134766;39.3967399597168
134.2254180908203;10.284090995788574;127.94255828857422;11.47115421295166;121.05121612548828;362.2437744140625
134.43536376953125;24.160715103149414;128.10787963867188;170.0512237548828;121.0604476928711;107.06127166748047
134.443359375;17.08333396911621;128.1331787109375;26.04166603088379;121.07293701171875;36.272727966308594
134.45079040527344;13.0625;128.1443328857422;12.446428298950195;121.09089660644531;10.125
134.45950317382812;7.041666507720947;128.31436157226562;11.086538314819336;121.10206604003906;6.333333492279053
134.68914794921875;54.22685241699219;128.42489624023438;5.224999904632568;121.12203979492188;21.200000762939453
134.6968994140625;34;128.9624786376953;184.13499450683594;121.13211822509766;8.375
134.70912170410156;10.0625;128.9815673828125;30.68055534362793;121.16372680664062;42.00833511352539
135.61398315429688;8.449999809265137;128.9980926513672;5.0625;121.18083953857422;8.017857551574707
135.68106079101562;36.32143020629883;129.03509521484375;7.4464287757873535;121.66724395751953;15.5
135.69432067871094;23.240385055541992;129.13433837890625;19.009614944458008;121.67488098144531;65.05555725097656
135.71092224121094;8.102272987365723;129.1416015625;10.125;121.68360137939453;42.04166793823242
135.77793884277344;43.09090805053711;130.1587371826172;274.5711975097656;121.69200134277344;32
135.78509521484375;24.55681800842285;130.1723175048828;46.5625;122.09668731689453;20
135.80062866210938;6.375;130.18563842773438;22.225000381469727;122.62321472167969;8.01388931274414
136.0511932373047;9.017857551574707;130.2056121826172;8.25;122.81396484375;34.07500076293945
136.06190490722656;164.58035278320312;130.42007446289062;8.125;123.04334259033203;23.5
136.08651733398438;21.625;130.4384765625;10;123.05203247070312;8.5625
136.0952606201172;12.347222328186035;130.47486877441406;11.920454978942871;123.41783905029297;19.163461685180664
136.1241455078125;6.083333492279053;130.77000427246094;8.125;123.60945892333984;21.55681800842285
136.1622772216797;5.333333492279053;131.04933166503906;136.3076934814453;123.66382598876953;13.083333015441895
136.76022338867188;41.25;131.06959533691406;9.125;123.71627807617188;38.01388931274414
136.7916717529297;11.050000190734863;131.07826232910156;11.017857551574707;123.72796630859375;13
137.06040954589844;50.28125;131.1058349609375;7.160714149475098;123.9848861694336;16.16666603088379
137.08203125;16.284090042114258;131.38067626953125;12.01388931274414;124.69332885742188;15.5625
137.09698486328125;10.556818008422852;131.3937225341797;6.041666507720947;124.81464385986328;60.25
137.46713256835938;11.321428298950195;131.8277587890625;13.800000190734863;124.83367919921875;35.025001525878906
138.80482482910156;11.556818008422852;131.83651733398438;19.471153259277344;124.8444595336914;15.875
138.81260681152344;8.199999809265137;132.288818359375;6.375;126.81363677978516;12.01388931274414
139.85107421875;22.163461685180664;133.9219970703125;19.125;126.9632797241211;13.5
139.86428833007812;7.0625;133.93344116210938;12.199999809265137;127.04226684570312;52.34722137451172
139.96875;9.333333015441895;134.266845703125;14.800000190734863;127.05286407470703;18.920454025268555
139.98583984375;5;134.29981994628906;6.0625;127.0621566772461;5.083333492279053
140.387939453125;15.25;134.3647003173828;6.125;127.17391204833984;7.25
140.68701171875;60.969825744628906;135.0458526611328;17.20833396911621;127.4521255493164;27
140.6949462890625;33.04166793823242;135.05560302734375;12.199999809265137;127.8095474243164;29.075000762939453
140.88546752929688;8.166666984558105;135.15679931640625;10.102272987365723;127.81845092773438;11.333333015441895
142.22064208984375;8.009614944458008;135.24977111816406;12.240385055541992;127.8289566040039;15
144.2561492919922;9.125;135.4536895751953;14.102272987365723;129.0696563720703;122.90131378173828
144.77200317382812;25.1488094329834;135.47808837890625;6;129.07925415039062;54.00833511352539
144.92999267578125;50.480262756347656;135.8302459716797;37.01388931274414;129.09852600097656;62.52155303955078
145.02735900878906;83.56018829345703;135.8441619873047;11.0625;129.10533142089844;29.55769157409668
145.04246520996094;16.625;135.85243225097656;5.025000095367432;129.1190185546875;15.199999809265137
145.54234313964844;8.160714149475098;135.94862365722656;5.625;129.62252807617188;7
145.56430053710938;8.25;137.06964111328125;26.125;129.77456665039062;14.125
145.81044006347656;51.0113639831543;137.0862579345703;8.017857551574707;129.78660583496094;18.04166603088379
145.82577514648438;11.125;137.4429473876953;21.200000762939453;129.79452514648438;7.160714149475098
146.22642517089844;26.657608032226562;137.46282958984375;5.0625;130.15899658203125;156.1125030517578
146.3285369873047;33.40833282470703;137.75257873535156;16.125;130.1809844970703;20.183822631835938
146.33685302734375;9.333333015441895;137.7613067626953;7.75;130.19949340820312;11.25
146.34593200683594;13.011363983154297;137.96975708007812;66.22256469726562;130.20712280273438;6.041666507720947
146.9180145263672;6.025000095367432;137.9956817626953;12.333333015441895;130.810791015625;26.799999237060547
147.46466064453125;33.556819915771484;138.2976837158203;49.65760803222656;130.82647705078125;9.225000381469727
148.87844848632812;18.01785659790039;138.30447387695312;38.480262756347656;130.95591735839844;30.65441131591797
148.8998260498047;7.013888835906982;138.31277465820312;11.5625;130.96566772460938;11.446428298950195
149.3458251953125;42.375;138.48208618164062;5.5;131.024169921875;117.6449966430664
149.36831665039062;5.125;138.5973663330078;25.14285659790039;131.0497589111328;343.87603759765625
149.5940399169922;9.024999618530273;139.0008087158203;17.29166603088379;131.07107543945312;52.33333206176758
149.6107940673828;5.025000095367432;139.00680541992188;14.625;131.08482360839844;67.03214263916016
150.0083770751953;68.01136016845703;139.15240478515625;31;131.0930938720703;43.57143020629883
150.0187530517578;25.08333396911621;139.1604766845703;24.011363983154297;131.11013793945312;10.035714149475098
150.0343780517578;13.083333015441895;139.16879272460938;8.01388931274414;131.19491577148438;15.017857551574707
151.0401611328125;64.09091186523438;140.91122436523438;16.25;131.41920471191406;63.40833282470703
151.04832458496094;33.04166793823242;140.92572021484375;28.65441131591797;131.42588806152344;50.224998474121094
151.0634765625;8;140.93911743164062;9.024999618530273;131.43496704101562;27.625
151.68894958496094;50.224998474121094;140.95237731933594;6.224999904632568;131.59912109375;25.75
151.69801330566406;23.049999237060547;141.01756286621094;9.160714149475098;131.61338806152344;15.160714149475098
151.7152557373047;11.017857551574707;141.44749450683594;52.57065200805664;131.81285095214844;34.20000076293945
151.72608947753906;5.017857074737549;141.45701599121094;9;131.83966064453125;50.560184478759766
151.85618591308594;87.22282409667969;141.62530517578125;37.889705657958984;131.8472900390625;26.01388931274414
151.8686981201172;19.5;141.65130615234375;6.017857074737549;131.85479736328125;10.160714149475098
151.88632202148438;7.0625;141.7803192138672;15.920454978942871;131.8730926513672;5.017857074737549
152.13059997558594;17.01785659790039;141.7898712158203;17.03125;132.97569274902344;130.625
152.14157104492188;6.025000095367432;142.7593231201172;28.086538314819336;133;13.446428298950195
152.45237731933594;10.166666984558105;142.93386840820312;7.160714149475098;133.0120849609375;8.5625
152.94309997558594;45.45454406738281;143.67213439941406;110.11842346191406;133.08682250976562;100.0037841796875
152.95431518554688;15.284090995788574;143.6869354248047;41.04166793823242;133.10939025878906;15.449999809265137
153.1562957763672;33.32236862182617;143.84458923339844;37.40833282470703;133.56410217285156;64.03571319580078
153.4877471923828;34.0625;143.8551025390625;18.284090042114258;133.58627319335938;13
153.63177490234375;13.083333015441895;143.86459350585938;14.01388931274414;133.8726348876953;41.138511657714844
154.45143127441406;13.01388931274414;143.97824096679688;14.041666984558105;133.8910675048828;19.25
154.73971557617188;21;146.15704345703125;11.449999809265137;133.90142822265625;14.0625
154.75473022460938;5.25;146.20928955078125;7.160714149475098;134.06707763671875;95.04166412353516
154.82879638671875;12.68055534362793;146.6741943359375;6.224999904632568;134.07801818847656;41.66666793823242
154.8771514892578;5.083333492279053;147.0424346923828;183.2022705078125;134.08514404296875;22.183822631835938
155.3074951171875;12.017857551574707;147.04994201660156;128.9185791015625;135.9087677001953;44.65760803222656
155.32101440429688;5.041666507720947;147.06532287597656;25;135.9210205078125;12.25
155.40530395507812;89.22685241699219;147.07968139648438;199.5953369140625;136.06356811523438;86.52083587646484
155.4303436279297;16.375;147.10626220703125;27.625;136.07907104492188;40.24038314819336
155.44078063964844;12.125;147.13031005859375;5.333333492279053;136.0985565185547;5.333333492279053
155.52157592773438;33.25;147.14292907714844;5.041666507720947;136.47164916992188;79.81666564941406
155.78407287597656;140.47116088867188;147.33055114746094;24.102272033691406;136.49510192871094;7.160714149475098
155.80706787109375;8.75;147.33978271484375;12.160714149475098;136.69053649902344;16.284090042114258
155.81903076171875;8.017857551574707;149.4727325439453;28.04166603088379;136.71295166015625;22.225000381469727
156.03810119628906;11.041666984558105;149.4817352294922;12.225000381469727;136.72061157226562;8.102272987365723
156.0603485107422;13.375;149.49375915527344;6.125;137.99920654296875;5.025000095367432
156.09024047851562;12.321428298950195;149.91461181640625;18;138.66905212402344;10.083333015441895
156.5911865234375;32.889705657958984;150.1007843017578;17.125;138.68099975585938;19.55681800842285
156.6093292236328;7.0625;150.6749267578125;5;139.7759246826172;5.041666507720947
156.61795043945312;6.083333492279053;150.73838806152344;108.78716278076172;139.78887939453125;38.20454406738281
159.08065795898438;82.0037841796875;150.7532196044922;32.44643020629883;139.79885864257812;13
159.3317108154297;62.26630401611328;150.7618865966797;19.200000762939453;139.922119140625;8
159.34291076660156;45.01785659790039;151.02688598632812;19.035715103149414;140.0467987060547;51.1136360168457
159.35629272460938;19.01388931274414;151.04054260253906;57.45454406738281;140.05929565429688;14.347222328186035
159.36643981933594;10.5625;151.04776000976562;44.5;140.5096893310547;36.79999923706055
159.67816162109375;57.60499954223633;151.0647430419922;9.333333015441895;140.5205078125;9.024999618530273
159.69126892089844;30.009614944458008;151.0758514404297;118.3878173828125;141.1136932373047;108.66666412353516
159.70509338378906;9.017857551574707;151.08740234375;48.818180084228516;141.1278533935547;10.75
160.36170959472656;26.28125;151.09849548339844;9.5;141.1371612548828;13.011363983154297
162.0304412841797;38.720237731933594;151.1091766357422;8.875;141.54995727539062;13.041666984558105
